"Date","Price","Open","High","Low","Vol.","Change %"
"05/11/2020","75.888","75.561","75.948","75.476","","0.47%"
"05/12/2020","75.062","75.971","75.993","75.049","","-1.09%"
"05/13/2020","75.365","75.278","75.510","75.045","","0.40%"
"05/14/2020","75.495","75.454","75.712","75.335","","0.17%"
"05/15/2020","75.830","75.521","75.950","75.416","","0.44%"
"05/18/2020","75.700","75.838","76.070","75.639","","-0.17%"
"05/19/2020","75.645","75.605","75.795","75.552","","-0.07%"
"05/20/2020","75.555","75.705","75.865","75.453","","-0.12%"
"05/21/2020","75.620","75.540","75.833","75.386","","0.09%"
"05/22/2020","75.950","75.663","76.018","75.633","","0.44%"
"05/25/2020","75.887","75.951","76.110","75.855","","-0.08%"
"05/26/2020","75.459","75.868","75.880","75.412","","-0.56%"
"05/27/2020","75.920","75.565","75.988","75.538","","0.61%"
"05/28/2020","75.660","75.812","75.910","75.632","","-0.34%"
